,horizon,mse,rmse,mae,mape,coverage
1061,57 days 00:00:00.000000000,16.272607810223338,4.033932053248212,3.3900492938687754,0.3014931123164804,0.5375
377,57 days 00:00:00.000000000,16.296117821867956,4.036845033174788,3.398166480802529,0.30194007749619467,0.5375
35,57 days 00:00:00.000000000,16.313044556161092,4.038941019148595,3.402118446904271,0.3021609200548439,0.5375
1402,57 days 00:00:00.000000000,16.138743705093717,4.017305527974406,3.3846218128367616,0.30040321191139685,0.5416666666666666
1745,57 days 00:00:00.000000000,16.139782700808393,4.017434840891435,3.384702202635786,0.3009040986827075,0.5416666666666666
1062,58 days 00:00:00.000000000,16.300415026161595,4.037377245955795,3.4056512663204273,0.30308713499447604,0.5375
378,58 days 00:00:00.000000000,16.108964061943656,4.013597396593691,3.3849675186571346,0.3002403568657266,0.5416666666666666
36,58 days 00:00:00.000000000,16.062834695971908,4.007846640775057,3.3786771207127675,0.2982769093476823,0.5416666666666666
717,58 days 00:00:00.000000000,16.07303114527064,4.009118499779053,3.38073578244745,0.2984143885865564,0.5375
2094,58 days 00:00:00.000000000,16.202680872802492,4.0252553798240545,3.40393908254864,0.3000098875494031,0.5333333333333333
1403,58 days 00:00:00.000000000,16.23180017787787,4.028870831619931,3.4109009810482878,0.3012906755398806,0.5333333333333333
1746,58 days 00:00:00.000000000,16.24141614290479,4.030064037072462,3.41166806685928,0.301799913560055,0.5333333333333333
1063,59 days 00:00:00.000000000,16.404958915802744,4.0503035584759255,3.4337002626258406,0.30412837700825257,0.5291666666666667
1747,59 days 00:00:00.000000000,16.575967591523355,4.071359427945825,3.456139393453062,0.30584826159931466,0.525
2095,59 days 00:00:00.000000000,16.6983004503697,4.086355399420087,3.477444808117927,0.3073603711578234,0.5208333333333334
379,59 days 00:00:00.000000000,16.71387259526049,4.088260338488792,3.4823695975767133,0.30761890232005445,0.5208333333333334
37,59 days 00:00:00.000000000,16.579202978338856,4.0717567435124185,3.4682466165911827,0.306574627989469,0.5208333333333334
1404,59 days 00:00:00.000000000,16.5904690890559,4.073139954513704,3.4702370231054585,0.30769912309125497,0.5208333333333334
718,59 days 00:00:00.000000000,16.41143785433485,4.051103288529539,3.451688903347366,0.3050624580104714,0.5208333333333334
1064,62 days 00:00:00.000000000,16.47966223980158,4.05951502519717,3.4577804928217915,0.30488253927226444,0.5208333333333334
1405,62 days 00:00:00.000000000,16.34112381864054,4.042415592024222,3.4434856324966927,0.3048682755382268,0.5208333333333334
380,62 days 00:00:00.000000000,16.181395948607747,4.022610588735597,3.4246362011532625,0.3024632725108756,0.525
2096,62 days 00:00:00.000000000,16.291956614504695,4.036329596862067,3.4391084276537507,0.3035746923931383,0.5208333333333334
719,62 days 00:00:00.000000000,16.320998726516343,4.039925584279535,3.4465116151424,0.30400054843051355,0.5166666666666667
1748,62 days 00:00:00.000000000,16.431737916490583,4.053608012189953,3.4565294111288085,0.30380998857963587,0.5166666666666667
2097,63 days 00:00:00.000000000,16.556750534252455,4.068998713965446,3.4738771426935573,0.30467972690036493,0.5125
1065,63 days 00:00:00.000000000,16.73887893266729,4.091317505726889,3.50093724471114,0.30777618661331624,0.5083333333333333
720,63 days 00:00:00.000000000,16.680674294932462,4.084198121410427,3.4932570591291987,0.3055525890667977,0.5083333333333333
1749,63 days 00:00:00.000000000,16.654923457363047,4.081044407668587,3.4914066636368557,0.30600418983172456,0.5083333333333333
1406,63 days 00:00:00.000000000,16.66916642501072,4.082789049780887,3.4946352479307574,0.3065185933453715,0.5083333333333333
381,63 days 00:00:00.000000000,16.70074036475854,4.0866539325906395,3.502692932074869,0.30692056137553153,0.5041666666666667
1750,64 days 00:00:00.000000000,16.71534052411758,4.088439864314697,3.5037878172889076,0.30637055404533425,0.5041666666666667
38,64 days 00:00:00.000000000,16.729833371971946,4.090211898174952,3.5068678829812177,0.3065421454392461,0.5041666666666667
1066,64 days 00:00:00.000000000,16.910768451345447,4.112270474001613,3.528521089857914,0.3090170917854233,0.5
382,64 days 00:00:00.000000000,16.83614803019444,4.1031875450915525,3.518422226377026,0.30644886989347664,0.5041666666666667
1407,64 days 00:00:00.000000000,16.64862899535588,4.080273152051941,3.4991408824302197,0.30590899988521103,0.5083333333333333
721,64 days 00:00:00.000000000,16.66313715923151,4.082050607137485,3.502179784517631,0.30610784237277694,0.5041666666666667
2098,64 days 00:00:00.000000000,16.815054510463295,4.100616357386203,3.524439617493678,0.3076092556413718,0.5
39,65 days 00:00:00.000000000,16.688383077281358,4.085141745066058,3.5107606293029727,0.3055871839452001,0.5
1751,65 days 00:00:00.000000000,16.830265938252595,4.102470711443605,3.528153667968481,0.30737876253239976,0.49583333333333335
1408,65 days 00:00:00.000000000,16.78101668569782,4.096463924618136,3.5207120261354743,0.30622847828450545,0.5
1067,65 days 00:00:00.000000000,16.731414132787414,4.090405130642614,3.5171500984406068,0.3073288212141287,0.5
722,65 days 00:00:00.000000000,16.738856694321733,4.091314787977299,3.518849351673675,0.3069786636611162,0.5
2099,65 days 00:00:00.000000000,16.692716215459416,4.085672064111291,3.514980630384693,0.30571187040094183,0.5
383,65 days 00:00:00.000000000,16.711001589616924,4.08790919537322,3.5219413641514423,0.3060797061960672,0.5
384,66 days 00:00:00.000000000,16.72812133908231,4.090002608688937,3.5299664209797954,0.306522581718572,0.5
723,66 days 00:00:00.000000000,16.692110733999204,4.0855979652921315,3.52495691111809,0.3048467433336382,0.5
1068,66 days 00:00:00.000000000,16.88746880348945,4.109436555476852,3.5460434299856938,0.30798225623626757,0.49583333333333335
1752,66 days 00:00:00.000000000,16.92801038531479,4.114366340679302,3.5492987476291065,0.3079192021815928,0.49583333333333335
2100,66 days 00:00:00.000000000,17.031337847675477,4.12690414810854,3.562269546527232,0.3084095269320561,0.49166666666666664
40,66 days 00:00:00.000000000,17.06987822974872,4.1315709154931275,3.572393700846361,0.30900433208395056,0.4875
1409,69 days 00:00:00.000000000,16.87405090918526,4.1078036600092345,3.5514522798828767,0.30825402594772616,0.49166666666666664
41,69 days 00:00:00.000000000,16.91158854393167,4.11237018566321,3.5617176699193704,0.3088294457260806,0.4875
1069,69 days 00:00:00.000000000,17.092016683442118,4.134249228510797,3.5821240507136243,0.31174437640906655,0.48333333333333334
1753,69 days 00:00:00.000000000,17.209629288141766,4.148449022001086,3.5924814461315275,0.3115179091137695,0.48333333333333334
