,horizon,mse,rmse,mae,mape,coverage
3330,118 days 00:00:00.000000000,28.868997706146153,5.37298778205815,4.298929712608881,0.15819392868319626,0.4295774647887324
82,118 days 00:00:00.000000000,28.89041756050439,5.374980703268095,4.304449224652991,0.15838831631824157,0.4278169014084507
1706,118 days 00:00:00.000000000,29.101747325639806,5.394603537391771,4.3225902378725864,0.1593659338486212,0.426056338028169
894,118 days 00:00:00.000000000,29.10021426614621,5.394461443568414,4.32228833764451,0.15936542135354417,0.426056338028169
2519,118 days 00:00:00.000000000,29.056618565193,5.390419145594617,4.315548780203262,0.15907570121968034,0.4278169014084507
1707,119 days 00:00:00.000000000,29.265462568132318,5.409756239252589,4.333240836241506,0.16005189748680418,0.426056338028169
2520,119 days 00:00:00.000000000,29.26725703006514,5.409922090942266,4.3343032802289265,0.16009668789185832,0.426056338028169
4954,119 days 00:00:00.000000000,29.285559697167063,5.411613409803684,4.3393741754354,0.16019763280729635,0.4242957746478873
83,119 days 00:00:00.000000000,29.297746961099158,5.412739321369464,4.3414600061043345,0.16028767761583498,0.4225352112676056
1708,120 days 00:00:00.000000000,29.48715316693096,5.430207469971195,4.356375035803467,0.16112212549398902,0.42077464788732394
4142,120 days 00:00:00.000000000,29.565925883952133,5.437455828229976,4.366423455499407,0.1614005708245145,0.41901408450704225
4955,120 days 00:00:00.000000000,29.573925376329843,5.438191369962062,4.368041055637971,0.16138691868009486,0.41901408450704225
84,120 days 00:00:00.000000000,29.591998025482674,5.4398527577024245,4.372161704777308,0.1615547121514378,0.41725352112676056
895,120 days 00:00:00.000000000,29.593349111060267,5.43997694030593,4.372426327116798,0.16157068224604557,0.41725352112676056
3331,121 days 00:00:00.000000000,29.65698851208066,5.445823033489122,4.38194939067412,0.1618739105125277,0.4154929577464789
896,121 days 00:00:00.000000000,29.663919054431627,5.446459313575346,4.383695394857977,0.1619243625208047,0.4154929577464789
4143,121 days 00:00:00.000000000,29.71166024173803,5.45084032436633,4.38779168648865,0.1619182304882673,0.4154929577464789
4956,121 days 00:00:00.000000000,29.725205680148438,5.452082691976383,4.392611785878657,0.1620233077618969,0.4154929577464789
4957,122 days 00:00:00.000000000,29.732470992986446,5.452748939111945,4.393701406389996,0.16199655121518622,0.4137323943661972
3332,122 days 00:00:00.000000000,29.756120377111785,5.4549170825148,4.395960310490293,0.16200318894835217,0.4137323943661972
85,122 days 00:00:00.000000000,29.774512695173183,5.456602669717961,4.401560117818507,0.16220454592431405,0.4119718309859155
4144,122 days 00:00:00.000000000,29.782285262973524,5.4573148400081815,4.402187368541858,0.16221193817618573,0.4119718309859155
2521,122 days 00:00:00.000000000,29.78306855700784,5.457386605052627,4.4027532273115835,0.1622364572984345,0.4119718309859155
3333,123 days 00:00:00.000000000,29.831852691903997,5.461854327232098,4.4092688274162795,0.16244308661723683,0.4102112676056338
4145,123 days 00:00:00.000000000,29.9045663539485,5.468506775523689,4.419257934824367,0.1627006382113053,0.4084507042253521
4958,123 days 00:00:00.000000000,29.94344537156367,5.47206043200947,4.427365426271155,0.16286947389403209,0.40669014084507044
2522,123 days 00:00:00.000000000,29.882882854557106,5.466523836457416,4.41843551857692,0.162477255096666,0.4084507042253521
2523,124 days 00:00:00.000000000,29.883070186559213,5.466540970902826,4.4185294608241525,0.16248608533081718,0.4084507042253521
1709,124 days 00:00:00.000000000,30.094792648913042,5.485872095566305,4.434666460716857,0.16342245954039455,0.40669014084507044
897,124 days 00:00:00.000000000,30.104690493449716,5.486774142740861,4.438241945161599,0.16353973716799972,0.40669014084507044
3334,124 days 00:00:00.000000000,30.074683127742787,5.484038942945499,4.436061537478255,0.16328422315302618,0.40669014084507044
4146,124 days 00:00:00.000000000,30.138582173437197,5.4898617626892205,4.444598345016309,0.16352662553518632,0.40492957746478875
1710,125 days 00:00:00.000000000,30.365237581044774,5.510466185455163,4.462979118900273,0.16456253832616213,0.40316901408450706
3335,125 days 00:00:00.000000000,30.431347414647956,5.516461493987605,4.4728847563757075,0.16488001849973974,0.4014084507042254
2524,125 days 00:00:00.000000000,30.433304603980464,5.516638886494245,4.474607619190127,0.1649505836717553,0.4014084507042254
898,125 days 00:00:00.000000000,30.442127729501998,5.517438511619499,4.478510700895341,0.16508237047125776,0.4014084507042254
86,125 days 00:00:00.000000000,30.454342004957077,5.518545279777731,4.480935817692244,0.16516517499464714,0.3996478873239437
2525,126 days 00:00:00.000000000,30.407203934419613,5.51427274755426,4.473208261911619,0.16495755634635484,0.4014084507042254
4959,126 days 00:00:00.000000000,30.32791314651939,5.507078458358786,4.4668670309161245,0.16445115652743683,0.4014084507042254
899,126 days 00:00:00.000000000,30.33341480813411,5.507577943900032,4.469694436769433,0.16455086878459527,0.4014084507042254
1711,126 days 00:00:00.000000000,30.54895420374976,5.527110836933683,4.48562624929895,0.1654917529494736,0.3996478873239437
87,126 days 00:00:00.000000000,30.5332035336763,5.525685797588956,4.483554060855292,0.16546471815222158,0.3996478873239437
88,127 days 00:00:00.000000000,30.549892193031067,5.527195689771719,4.488808878625112,0.16565448649027525,0.397887323943662
1712,127 days 00:00:00.000000000,30.78413044394105,5.548344838232484,4.505308620255896,0.1666663773289115,0.3961267605633803
900,127 days 00:00:00.000000000,30.791471636859235,5.549006364824177,4.5082822426740305,0.16677355408525874,0.3961267605633803
4147,127 days 00:00:00.000000000,30.839891186944723,5.553367553741128,4.512691846074797,0.16687258673829636,0.3961267605633803
4960,127 days 00:00:00.000000000,30.86087583959963,5.555256595297793,4.515805967472088,0.16687873588852936,0.39436619718309857
901,128 days 00:00:00.000000000,30.87168627455219,5.556229501609179,4.519846265730098,0.16701189603784627,0.39436619718309857
4961,128 days 00:00:00.000000000,30.924467474140314,5.560977204964997,4.528838797795591,0.16718673863592953,0.3926056338028169
89,128 days 00:00:00.000000000,30.931434808758873,5.561603618450246,4.530112472557034,0.16723575710573624,0.3908450704225352
4148,128 days 00:00:00.000000000,30.98502744926746,5.5664196256900595,4.535259027141667,0.16735524802931936,0.3908450704225352
3336,128 days 00:00:00.000000000,31.057115069664,5.572891087188409,4.546522236775703,0.16772071989391882,0.3890845070422535
4962,129 days 00:00:00.000000000,31.003241012334815,5.568055406722783,4.5423156458094684,0.16729562344383342,0.3890845070422535
2526,129 days 00:00:00.000000000,30.90467685499927,5.559197500988724,4.531664813322619,0.1667908190203306,0.3908450704225352
90,129 days 00:00:00.000000000,30.922197479942742,5.5607731009224555,4.5364678176693145,0.16696046449929364,0.3890845070422535
3337,129 days 00:00:00.000000000,30.960461087531815,5.56421253076586,4.540121505963427,0.1670994471158319,0.3890845070422535
3338,130 days 00:00:00.000000000,31.014417781426378,5.56905896731453,4.546745832776306,0.16730828168678316,0.3873239436619718
4149,130 days 00:00:00.000000000,31.102642216811105,5.576974288699124,4.559173458698053,0.16764201486041846,0.3855633802816901
1713,130 days 00:00:00.000000000,31.316637240792158,5.59612698576365,4.574024385392589,0.1685688201896191,0.3855633802816901
2527,130 days 00:00:00.000000000,31.319802365798534,5.596409774650042,4.575561707755486,0.16863872625368792,0.3855633802816901
4963,130 days 00:00:00.000000000,31.345849535087524,5.598736423076865,4.581338049314829,0.1687435244058655,0.38380281690140844
4150,131 days 00:00:00.000000000,31.42937947452813,5.606191173562326,4.589412369396069,0.16891737817139346,0.38204225352112675
3339,131 days 00:00:00.000000000,31.41695984525891,5.6050833932475,4.588364953285705,0.16877404888886885,0.38204225352112675
1714,131 days 00:00:00.000000000,31.6754254689217,5.62809252490768,4.605835890468118,0.16989418819181393,0.38028169014084506
2528,131 days 00:00:00.000000000,31.677525990688466,5.628279132264894,4.607028908035739,0.16994827337246068,0.38028169014084506
902,131 days 00:00:00.000000000,31.687370573714695,5.629153628540857,4.610821462796365,0.1700793838958561,0.38028169014084506
1715,132 days 00:00:00.000000000,31.95599687264798,5.652963547790485,4.631349382663986,0.171309865019364,0.3785211267605634
2529,132 days 00:00:00.000000000,31.899662796649586,5.647978646971816,4.62292285322523,0.17095149962150794,0.38028169014084506
91,132 days 00:00:00.000000000,31.916075065549514,5.649431393118206,4.62667166206342,0.17108718735871523,0.3785211267605634
3340,132 days 00:00:00.000000000,31.9569335939147,5.65304639941286,4.631708790648417,0.17124280393144822,0.3767605633802817
903,132 days 00:00:00.000000000,31.96937821269236,5.654146992490765,4.636055982844197,0.17139086539400383,0.375
1716,133 days 00:00:00.000000000,32.1526620988488,5.670331745043565,4.645561808353513,0.17212271938396478,0.375
4964,133 days 00:00:00.000000000,32.187472250136814,5.673400413344436,4.6531349710095204,0.17228333478831517,0.3732394366197183
92,133 days 00:00:00.000000000,32.19735229032717,5.674271080088364,4.654963746360318,0.1723441873719531,0.3714788732394366
2530,133 days 00:00:00.000000000,32.19765448497841,5.674297708525559,4.655135846160667,0.17235874087482614,0.3714788732394366
904,133 days 00:00:00.000000000,32.20357960360143,5.674819786002145,4.656160114124724,0.17239817525158743,0.36971830985915494
905,134 days 00:00:00.000000000,32.20478668239226,5.674926138937163,4.656323767172467,0.172392965010747,0.36971830985915494
1717,134 days 00:00:00.000000000,32.50635676751326,5.701434623628798,4.6788187651992486,0.17379466225689782,0.36795774647887325
93,134 days 00:00:00.000000000,32.499105548339834,5.700798676355782,4.677712128409806,0.17376862196484552,0.36795774647887325
4151,134 days 00:00:00.000000000,32.57814095262677,5.707726425874559,4.686132283266549,0.17395407754555592,0.36619718309859156
4965,134 days 00:00:00.000000000,32.60245474490402,5.709855930310678,4.689844358765406,0.1739923136450335,0.3644366197183099
4152,135 days 00:00:00.000000000,32.69583509488307,5.718027203055533,4.702627111963683,0.1743336302425199,0.3626760563380282
906,135 days 00:00:00.000000000,32.722427052325244,5.720352004232366,4.709419556052199,0.17455209163514634,0.3609154929577465
4966,135 days 00:00:00.000000000,32.73995542851337,5.721883905543118,4.7125604879755825,0.17458498478554949,0.3591549295774648
94,135 days 00:00:00.000000000,32.7553905661476,5.72323252770212,4.7176042249386,0.17476653092512595,0.3573943661971831
3341,135 days 00:00:00.000000000,32.77971000057843,5.72535675749367,4.7206191891623694,0.17486993959204145,0.3573943661971831
3342,136 days 00:00:00.000000000,32.74523916309203,5.722345599759947,4.717882602587018,0.17464320402678257,0.3573943661971831
95,136 days 00:00:00.000000000,32.688074159132775,5.717348525246014,4.7117878878852,0.17434248170693362,0.3573943661971831
