,horizon,mse,rmse,mae,mape,coverage
732,55 days 00:00:00.000000000,2585.134544794534,50.844218400861806,35.908178120560535,0.06375004254691201,0.5925925925925926
1777,55 days 00:00:00.000000000,2585.642942705983,50.849217719705216,35.9401782342347,0.06379662930963696,0.5925925925925926
2128,56 days 00:00:00.000000000,2580.9453011727182,50.80300484393338,35.81809670297524,0.06355459365137536,0.5967078189300411
1081,56 days 00:00:00.000000000,2516.6605943126187,50.16632928880305,35.50408816409966,0.06284560727471925,0.5967078189300411
733,56 days 00:00:00.000000000,2517.665844552079,50.1763474612499,35.545345219180646,0.06293460177266147,0.5967078189300411
385,56 days 00:00:00.000000000,2518.9247789111064,50.18889099104608,35.59181104081191,0.06304091254592922,0.5967078189300411
36,56 days 00:00:00.000000000,2517.963230684339,50.17931078327341,35.58055762337052,0.06314339576143876,0.5967078189300411
1778,56 days 00:00:00.000000000,2519.3547810354926,50.19317464591668,35.653147511394614,0.06323817739840232,0.5967078189300411
1432,56 days 00:00:00.000000000,2556.2886097407195,50.55975286471167,35.92367159627846,0.06358309756205076,0.5967078189300411
1082,57 days 00:00:00.000000000,2566.448663847897,50.66012893635287,36.02379968710727,0.06382131652577414,0.5925925925925926
37,57 days 00:00:00.000000000,2569.814466770329,50.693337498830445,36.07369709526216,0.06407398218032294,0.588477366255144
386,57 days 00:00:00.000000000,2493.7748443128235,49.937709642241536,35.575363061884076,0.0630861310140311,0.5925925925925926
2129,57 days 00:00:00.000000000,2493.952045911689,49.93948383705712,35.588670784168,0.06306913254744678,0.5925925925925926
1433,57 days 00:00:00.000000000,2535.2358701989006,50.351125808653975,35.857719530746515,0.06333694965634708,0.5925925925925926
734,57 days 00:00:00.000000000,2536.518284981472,50.363858916702085,35.91868669271898,0.06345224648822953,0.5925925925925926
1779,57 days 00:00:00.000000000,2539.050768981709,50.38899452243227,36.00957575812124,0.06356379902439503,0.5925925925925926
387,58 days 00:00:00.000000000,2527.6512568622843,50.27575217599717,35.841987563738186,0.0632542165195641,0.5967078189300411
2130,58 days 00:00:00.000000000,2521.896412219553,50.21848675756323,35.741010302244774,0.06310594964287336,0.5967078189300411
735,58 days 00:00:00.000000000,2521.9265063520015,50.218786388681295,35.74900941478454,0.06312163207357475,0.5967078189300411
38,58 days 00:00:00.000000000,2529.9827528483984,50.29893391363676,35.90664552798102,0.0635292176712544,0.5925925925925926
1434,58 days 00:00:00.000000000,2575.8280218400673,50.752615911301234,36.259262377014714,0.06398973963511248,0.588477366255144
1083,58 days 00:00:00.000000000,2590.6415547727725,50.89834530486009,36.497964380571986,0.06440198077013268,0.5843621399176955
1780,58 days 00:00:00.000000000,2511.0017189744362,50.10989641751853,36.02558032726576,0.06336623218862968,0.588477366255144
1781,59 days 00:00:00.000000000,2498.283647147806,49.98283352459928,35.884874667743404,0.06301518373465191,0.5925925925925926
2131,59 days 00:00:00.000000000,2497.8025588653472,49.97802075778259,35.867451432208306,0.06296694783642415,0.5925925925925926
736,59 days 00:00:00.000000000,2426.836410243317,49.262931401240394,35.35577561596322,0.06194201190899131,0.5967078189300411
388,59 days 00:00:00.000000000,2429.688165064835,49.29186712901871,35.45344703401971,0.062139860560803784,0.5925925925925926
39,59 days 00:00:00.000000000,2439.8475930382992,49.39481342244648,35.65422009204875,0.06266294473340864,0.588477366255144
1435,59 days 00:00:00.000000000,2480.672776199776,49.80635276949895,35.936828381034225,0.0630514922524502,0.588477366255144
1084,59 days 00:00:00.000000000,2495.0073430708135,49.9500484791638,36.151855014263035,0.0633969187943141,0.5843621399176955
2132,62 days 00:00:00.000000000,2480.5833889246583,49.80545541328438,35.95381074522155,0.06296825987264204,0.588477366255144
389,62 days 00:00:00.000000000,2483.7224433813194,49.83695860886095,35.999361446785926,0.06310679964081511,0.5843621399176955
1782,62 days 00:00:00.000000000,2409.841979776534,49.090141370508746,35.54642159583022,0.062123820089256904,0.588477366255144
